Normal,Foil,Name,Set,Card Number,Color,Rarity,Price,Foil Price
0,0,"Maleficent - Monstrous Dragon",P1,5,Ruby,Promo,"$1,249.00","$1,249.00"
0,0,"Let It Go",C1,002,Sapphire,Promo,"$885.66","$885.66"
0,0,"Elsa - Spirit of Winter",001,207,Amethyst,Enchanted,"$869.43","$869.43"
0,0,"Stitch - Rock Star",P1,30,Amber,Promo,"$356.04","$356.04"
0,0,"Tamatoa - Happy as a Clam",007,219,Sapphire,Enchanted,"$288.70","$288.70"
0,0,"Cinderella - Ballroom Sensation",002,205,Amber,Enchanted,"$266.52","$266.52"
0,0,"Tinker Bell - Giant Fairy",001,216,Steel,Enchanted,"$257.97","$257.97"
0,0,"Into the Unknown",008,213,Amethyst Sapphire,Enchanted,"$257.15","$257.15"
0,0,"Mufasa - Ruler of Pride Rock",005,217,Sapphire,Enchanted,"$227.08","$227.08"
0,0,"Stitch - Carefree Surfer",001,206,Amber,Enchanted,"$222.71","$222.71"
0,0,"Belle - Strange but Special",001,214,Sapphire,Enchanted,"$207.29","$207.29"
0,0,"Stitch - Experiment 626",008,220,Sapphire,Enchanted,"$195.48","$195.48"
0,0,"Rapunzel - High Climber",008,214,Emerald,Enchanted,"$181.67","$181.67"
0,0,"Cinderella - Stouthearted",C1,003,Steel,Promo,"$177.14","$991.12"
0,0,"Maui - Hero to All",001,212,Ruby,Enchanted,"$175.66","$175.66"
0,0,"Aurora - Waking Beauty",007,205,Amber,Enchanted,"$173.72","$173.72"
0,0,"Lilo - Causing an Uproar",008,217,Ruby,Enchanted,"$166.06","$166.06"
0,0,"Ursula - Deceiver of All",003,212,Emerald,Enchanted,"$158.92","$158.92"
0,0,"Rapunzel - Gifted with Healing",C1,004,Amber,Promo,"$156.88","$2,903.18"
0,0,"All is Found",007,220,Sapphire,Enchanted,"$155.15","$155.15"
0,0,"Tramp - Enterprising Dog",007,212,Emerald,Enchanted,"$153.39","$153.39"
0,0,"Aurora - Dreaming Guardian",001,213,Sapphire,Enchanted,"$152.14","$152.14"
0,0,"It Means No Worries",008,208,Amber,Enchanted,"$145.09","$145.09"
0,0,"And Then Along Came Zeus",003,222,Steel,Enchanted,"$143.67","$143.67"
0,0,"Mickey Mouse - Wayward Sorcerer",001,208,Amethyst,Enchanted,"$140.80","$140.80"
0,0,"Bolt - Superdog",007,207,Amber Steel,Enchanted,"$136.10","$136.10"
0,0,"Robin Hood - Champion of Sherwood",003,221,Steel,Enchanted,"$130.97","$130.97"
0,0,"Belle - Mechanic Extraordinaire",007,217,Ruby Sapphire,Enchanted,"$128.28","$128.28"
0,0,"Mushu - Your Worst Nightmare",008,218,Ruby Steel,Enchanted,"$128.07","$128.07"
0,0,"Ariel - Sonic Warrior",004,220,Steel,Enchanted,"$122.32","$122.32"
0,0,"Jasmine - Steady Strategist",008,221,Sapphire Steel,Enchanted,"$122.28","$122.28"
0,0,"Alice - Growing Girl",002,213,Sapphire,Enchanted,"$116.97","$116.97"
0,0,"Jafar - Newly Crowned",007,210,Amethyst Steel,Enchanted,"$115.75","$115.75"
0,0,"Donald Duck - Flustered Sorcerer",007,209,Amethyst,Enchanted,"$114.16","$114.16"
0,0,"Lady - Decisive Dog",008,205,Amber Emerald,Enchanted,"$113.48","$113.48"
0,0,"Jafar - Striking Illusionist",003,208,Amethyst,Enchanted,"$113.10","$113.10"
0,0,"Simba - Returned King",001,215,Steel,Enchanted,"$111.36","$111.36"
0,0,"Genie - On the Job",001,209,Emerald,Enchanted,"$106.74","$106.74"
0,0,"Perdita - Determined Mother",008,207,Amber Sapphire,Enchanted,"$106.35","$106.35"
0,0,"Desperate Plan",008,222,Steel,Enchanted,"$104.77","$104.77"
0,0,"Diablo - Devoted Herald",004,211,Emerald,Enchanted,"$103.48","$103.48"
0,0,"Robin Hood - Sharpshooter",005,215,Ruby,Enchanted,"$103.06","$103.06"
0,0,"Mickey Mouse - Playful Sorcerer",D23,007,Steel,Promo,"$98.48","$98.48"
0,0,"Chernabog - Evildoer",003,205,Amber,Enchanted,"$98.40","$98.40"
0,0,"Finders Keepers",005,210,Amethyst,Enchanted,"$98.06","$98.06"
0,0,"Mickey Mouse - Inspirational Warrior",007,221,Steel,Enchanted,"$93.79","$93.79"
0,0,"Wrong Lever!",008,216,Emerald,Enchanted,"$92.96","$92.96"
0,0,"You Came Back",006,213,Emerald,Enchanted,"$91.89","$91.89"
0,0,"Bambi - Little Prince",008,209,Amethyst,Enchanted,"$90.10","$90.10"
0,0,"Mickey Mouse - Artful Rogue",001,210,Emerald,Enchanted,"$87.57","$87.57"
0,0,"Morph - Space Goo",003,211,Emerald,Enchanted,"$87.10","$87.10"
0,0,"Aladdin - Heroic Outlaw",001,211,Ruby,Enchanted,"$84.58","$84.58"
0,0,"Ursula - Sea Witch Queen",P1,038,Amethyst,Promo,"$84.47","$84.47"
0,0,"Prince Naveen - Ukulele Player",005,205,Amber,Enchanted,"$84.31","$84.31"
0,0,"Kida - Protector of Atlantis",003,206,Amber,Enchanted,"$82.26","$82.26"
0,0,"Clarabelle - Light on Her Hooves",005,211,Emerald,Enchanted,"$82.14","$82.14"
0,0,"Baymax - Personal Healthcare Companion",006,218,Sapphire,Enchanted,"$81.63","$81.63"
0,0,"Sisu - Empowered Sibling",004,215,Ruby,Enchanted,"$80.87","$80.87"
0,0,"Hades - King of Olympus",001,205,Amber,Enchanted,"$79.19","$79.19"
0,0,"The Return of Hercules",007,215,Emerald,Enchanted,"$78.46","$78.46"
0,0,"Mirabel Madrigal - Musically Talented",007,206,Amber Amethyst,Enchanted,"$77.58","$77.58"
0,0,"Kuzco - Impulsive Llama",008,210,Amethyst Emerald,Enchanted,"$75.89","$75.89"
0,0,"Show Me More!",007,211,Amethyst,Enchanted,"$74.89","$74.89"
0,0,"Iago - Out of Reach",D23,008,Steel,Promo,"$74.82","$74.82"
0,0,"Snow White - Well Wisher",002,206,Amber,Enchanted,"$73.72","$73.72"
0,0,"Captain Hook - The Pirate King",008,215,Emerald Steel,Enchanted,"$71.56","$71.56"
0,0,"Lady Tremaine - Imperious Queen",002,211,Ruby,Enchanted,"$70.98","$70.98"
0,0,"You're Welcome",005,213,Emerald,Enchanted,"$70.70","$70.70"
0,0,"Hiro Hamada - Armor Designer",007,214,Emerald Sapphire,Enchanted,"$69.37","$69.37"
0,0,"Mad Hatter - Unruly Eccentric",007,213,Emerald Ruby,Enchanted,"$68.34","$68.34"
0,0,"Tiana - Restaurant Owner",006,206,Amber,Enchanted,"$68.12","$68.12"
0,0,"Fantastical and Magical",008,212,Amethyst,Enchanted,"$66.68","$66.68"
0,0,"Mother Gothel - Knows What's Best",008,211,Amethyst Ruby,Enchanted,"$66.53","$66.53"
0,0,"Mickey Mouse - Musketeer",P1,11,Steel,Promo,"$66.43",
0,0,"Goofy - Musketeer",P1,12,Amber,Promo,"$66.27",
0,0,"Scar - Vengeful Lion",005,212,Emerald,Enchanted,"$65.54","$65.54"
0,0,"Royal Tantrum",005,219,Sapphire,Enchanted,"$63.14","$63.14"
0,0,"Scrooge McDuck - Richest Duck in the World",003,218,Sapphire,Enchanted,"$62.78","$62.78"
0,0,"Tigger - In the Crow's Nest",006,215,Ruby,Enchanted,"$61.55","$61.55"
0,0,"Baymax - Armored Companion",C1,009,Sapphire,Promo,"$60.65",
0,0,"Goofy - Super Goof",004,214,Ruby,Enchanted,"$58.29","$58.29"
0,0,"Snow White - Fair-Hearted",005,220,Steel,Enchanted,"$58.05","$58.05"
0,0,"Raya - Kumandran Rider",006,214,Ruby,Enchanted,"$57.97","$57.97"
0,0,"Ursula - Deceiver",D23,003,Emerald,Promo,"$55.62","$55.62"
0,0,"Donald Duck - Pie Slinger",005,214,Ruby,Enchanted,"$55.51","$55.51"
0,0,"The Sword of Shan-Yu",008,219,Ruby,Enchanted,"$55.07","$55.07"
0,0,"Hercules - Divine Hero",002,215,Steel,Enchanted,"$54.07","$54.07"
0,0,"Donald Duck - Musketeer",P1,13,Steel,Promo,"$53.18",
0,0,"Shere Khan - Menacing Predator",002,212,Ruby,Enchanted,"$53.01","$53.01"
0,0,"Beast - Relentless",002,210,Emerald,Enchanted,"$52.84","$52.84"
0,0,"Mickey Mouse - True Friend",P2,015,Amber,Promo,"$52.32",
0,0,"Gaston - Arrogant Hunter",P1,24,Ruby,Promo,"$50.90","$50.90"
0,0,"Mickey Mouse - Trumpeter",003,220,Steel,Enchanted,"$50.60","$50.60"
0,0,"Wreck-It Ralph - Big Lug",008,206,Amber Ruby,Enchanted,"$50.56","$50.56"
0,0,"The Glass Slipper",007,208,Amber,Enchanted,"$50.48","$50.48"
0,0,"Oswald - The Lucky Rabbit",D23,006,Sapphire,Promo,"$49.71","$49.71"
0,0,"Sisu - Divine Water Dragon",002,214,Sapphire,Enchanted,"$48.88","$48.88"
0,0,"Yzma - Conniving Chemist",006,209,Amethyst,Enchanted,"$48.27","$48.27"
0,0,"Maleficent's Staff",006,210,Amethyst,Enchanted,"$48.21","$48.21"
0,0,"Yen Sid - Powerful Sorcerer",004,209,Amethyst,Enchanted,"$47.91","$47.91"
0,0,"Arthur - King Victorious",005,221,Steel,Enchanted,"$47.57","$47.57"
0,0,"Peter Pan - Pirate's Bane",003,215,Ruby,Enchanted,"$46.02","$46.02"
0,0,"We Could Be Immortals",006,219,Sapphire,Enchanted,"$45.77","$45.77"
0,0,"Daisy Duck - Pirate Captain",006,211,Emerald,Enchanted,"$45.76","$45.76"
0,0,"Mickey Mouse - True Friend",P1,25,Amber,Promo,"$44.94","$44.94"
0,0,"Chip 'n' Dale - Recovery Rangers",006,205,Amber,Enchanted,"$44.88","$44.88"
0,0,"Maleficent - Mistress of All Evil",003,209,Amethyst,Enchanted,"$44.84","$44.84"
0,0,"Maui - Half-Shark",006,124,Ruby,Legendary,"$44.83","$58.01"
0,0,"Madam Mim - Purple Dragon",002,208,Amethyst,Enchanted,"$44.45","$44.45"
0,0,"We Don't Talk About Bruno",004,213,Emerald,Enchanted,"$44.33","$44.33"
0,0,"Tamatoa - Happy as a Clam",007,162,Sapphire,Legendary,"$43.43","$45.51"
